district,dm_control_hba1c,dm_control_hba1c_se,dm_control_hba1c_lt7,dm_control_hba1c_lt7_se,dm_control_rbg,dm_control_rbg_se,n
103,0.9110832609151744,0.057221625360062985,0.7507903466124755,0.068802581355754,0.9110832609151744,0.057221625360062985,45
104,0.8377133975989417,0.14039494101791164,0.8377133975989417,0.14039494101791164,1.0000000000000002,1.3911937125142416e-16,4
105,0.7013380012373266,0.23485738109225598,0.3530238783851522,0.20236625630782998,0.7013380012373266,0.23485738109225598,7
106,0.2648733659458418,0.24264665936737356,0.2648733659458418,0.24264665936737356,0.2648733659458418,0.24264665936737356,4
107,1,0,1,0,1,0,3
108,1,0,0.6504774664013371,0.20756634216963404,1,0,7
109,0.7957933945441291,0.18823636979786532,0.7957933945441291,0.18823636979786532,0.7957933945441291,0.18823636979786532,4
110,0.774242531058056,0.10311590503093425,0.4263139399202346,0.14578070708036997,0.8041957897903091,0.10257801997593906,22
111,0.8099069839594921,0.08889697898289803,0.6325186244427369,0.11481626968890332,0.8099069839594921,0.08889697898289803,23
112,0.257804564127958,0.13698740856053132,0.257804564127958,0.13698740856053132,0.257804564127958,0.13698740856053132,12
113,0.8903351007010938,0.05764844693604546,0.7546086208438917,0.11572272950392568,0.9252567801462556,0.04600916459960285,21
114,0.8930440717285921,0.08627405414019079,0.83908120148228,0.11322028803626782,0.8930440717285921,0.08627405414019079,13
115,0.6594668008213508,0.2780642295008255,0.6594668008213508,0.2780642295008255,0.6594668008213508,0.2780642295008255,3
116,0.5248222603518524,0.1491555066661644,0.35651250547076224,0.1289455784750932,0.5248222603518524,0.1491555066661644,11
117,0.5520430926836325,0.06606129627159851,0.5520430926836325,0.06606129627159851,0.5520430926836325,0.06606129627159851,3
118,0.7734340396496463,0.07384153348438782,0.6830651823761684,0.06521103126272296,0.8479625584767383,0.07924658055442013,36
119,0.6490436248142322,0.19882168650872817,0.6490436248142322,0.19882168650872817,0.6490436248142322,0.19882168650872817,6
120,0.6359795233279466,0.1697003203518347,0.6359795233279466,0.1697003203518347,0.6359795233279466,0.1697003203518347,8
121,0.21958534343488387,0.19845279784415218,0.21958534343488387,0.19845279784415218,0.4748949263586103,0.25094015484786747,4
122,0.7046963416414477,0.20856357485958144,0.453315559494411,0.178536499434765,0.7046963416414477,0.20856357485958144,10
123,0.8861520558471943,0.11093393322664903,0.7874322444384861,0.14483609306678769,0.8861520558471943,0.11093393322664903,7
124,0.7926562420420453,0.05946796041638696,0.468783053746905,0.07219482959558472,0.8184865937751101,0.07102571368639224,25
125,0.25916116264183897,0.27202663062162724,0.25916116264183897,0.27202663062162724,1,0,2
126,0.7265770109895628,0.18067454109107156,0.7265770109895628,0.18067454109107156,0.7265770109895628,0.18067454109107156,6
127,0.7408171933996996,0.1576079049157756,0.7408171933996996,0.1576079049157756,0.7408171933996996,0.1576079049157756,8
128,0.7401944438400914,0.1941175546405047,0.23619541644101838,0.18026737836465365,1,0,6
129,0.7834553469804839,0.19714367927770182,0.7834553469804839,0.19714367927770182,0.7834553469804839,0.19714367927770182,4
130,0.8897566383163463,0.07846682679818531,0.6956962864328784,0.08236853018817562,0.9121152642232523,0.07517743000191392,31
131,0.858185160207422,0.14098106046267603,0.5798434948046681,0.23873006387365517,0.858185160207422,0.14098106046267603,5
132,0.7225150805424874,0.17761050543801293,0.7225150805424874,0.17761050543801293,0.7225150805424874,0.17761050543801293,8
134,0.49086773781882165,0.12360408706082872,0.3307632869206107,0.10298031692663813,0.455019257433545,0.11764071834963133,32
136,0.659235901298615,0.14517930655797875,0.3491288142473659,0.1292252240522272,0.7624596486508406,0.1251638804347685,12
137,0.42499952573304495,0.12455486907984052,0.19101757546643883,0.09372990808539987,0.6180576825866361,0.14125702655799832,27
138,0.22894188577939886,0.06737425407414188,0.197635733586345,0.07705926005028323,0.3549893269962806,0.10075905190266274,24
139,0.4667296511332933,0.13843562167671414,0.08993843324744988,0.040127826859110524,0.5008220043568432,0.15222867492408634,22
141,0.5945514153210463,0.1738498587452748,0.5137567113994571,0.1727050086602363,0.5945514153210463,0.1738498587452748,13
142,0.8973985902713142,0.10346092537135797,0.6401934081594111,0.20221514153290351,0.8973985902713142,0.10346092537135797,6
143,0.30615303142820227,0.16022926062919993,0.14527098027494006,0.11271282268760292,0.30615303142820227,0.16022926062919993,12
144,0.7822317977290457,0.10069227485455642,0.6958679500108765,0.10665907952944208,0.7822317977290457,0.10069227485455642,52
145,0.6182900075817733,0.14443676000469408,0.5459984640759101,0.12882866070245516,0.8542189177831975,0.08045092487134665,23
146,0.4986816145324358,0.12538682784343042,0.38942286249738145,0.11056206029472197,0.6798254026526488,0.12259070597016264,16
147,0.34735174688113246,0.15379818812971852,0.2205671919762135,0.10141447058831088,0.4533871421655246,0.1794379386900573,11
148,0.6625140658292555,0.20813018590038251,0.6625140658292555,0.20813018590038251,0.825262517653697,0.16286145142548283,5
150,0.9079884377382186,0.08327486264978728,0.8038099427874967,0.14711670668696888,0.9079884377382186,0.08327486264978728,6
151,0.3196998139305613,0.2674232378369676,0.3196998139305613,0.2674232378369676,0.3196998139305613,0.2674232378369676,3
152,0.42401798872322427,0.1827469284662019,0.3060305990377795,0.19036950693472465,0.460223199312336,0.1735683430800398,12
153,0.8145725685460036,0.12916246221350247,0.7744234338823389,0.1304878396704149,0.8145725685460036,0.12916246221350247,18
154,0.6458831151048634,0.14890902569621148,0.3345076180553284,0.13754252375282627,0.6458831151048634,0.14890902569621148,11
155,0.7452437147436853,0.1334309028863827,0.615319836927869,0.20753027343622432,0.7452437147436853,0.1334309028863827,8
156,0.9474156775284803,0.05219792106834673,0.758082364952609,0.10219213561109897,0.9474156775284803,0.05219792106834673,22
157,0.5589181203510346,0.10701252223727475,0.4602625768870815,0.11386429027141878,0.672153320446696,0.11973955759928193,18
159,0.7859396505185812,0.13422251117295783,0.11367577164185769,0.11295516666046927,1,0,7
160,0.7702977170917936,0.15812471946063633,0.4372170994904635,0.1920060090202468,0.8712686073182372,0.13074788465653123,9
161,0.7306750331329188,0.15098061309601313,0.6389582007553616,0.17302207015510343,0.8215831845305107,0.12398124206698527,9
162,0.8697629936968946,0.09352933935657476,0.560557704518344,0.1417058139948888,0.8697629936968946,0.09352933935657476,14
163,0.9383282978419322,0.06182621819774537,0.7489522213308727,0.12973545338682857,0.94125671337884,0.05878233006174735,19
164,0.7388845699787896,0.13636379398803813,0.6598307535528645,0.13404109307557138,0.7388845699787896,0.13636379398803813,24
165,0.6173524562890579,0.1282651567429026,0.5826849297223418,0.1296966881759808,0.717263528351927,0.1700703427594561,21
166,0.94831276151035,0.05258969333198575,0.659213121888146,0.17635322787259292,0.94831276151035,0.05258969333198575,16
167,0.7872630078082374,0.11254336774473889,0.6879299233883033,0.11110706628512795,0.8085252131853574,0.1111892705520717,36
168,0.5760212217332705,0.271370260575713,0.5760212217332705,0.271370260575713,0.5760212217332705,0.271370260575713,7
169,0.8902499178519223,0.0564433519848587,0.7915698679098953,0.07949674981015577,0.9504080876252837,0.052063114969295964,19
170,0.963219499533646,0.037600684940088815,0.691801988755123,0.13837397412717817,0.963219499533646,0.037600684940088815,16
171,0.9373350397537912,0.039778416674494055,0.8274782987679105,0.06339872119826043,0.9893924788388213,0.010950660412553999,64
172,0.747296632730295,0.12307663329786318,0.4111803658504016,0.13865391505200989,0.7981641087711598,0.11749522432472036,17
173,0.7967608248518709,0.10806388017575468,0.759455361747524,0.11672719113053613,0.7967608248518709,0.10806388017575468,20
174,0.3759489382468847,0.2143923510003823,0.3759489382468847,0.2143923510003823,0.3759489382468847,0.2143923510003823,6
175,0.8936288004994893,0.0921584867036317,0.7802913740118568,0.13058014632149803,0.8936288004994893,0.0921584867036317,7
176,0.9061657009019789,0.057148555478893574,0.7212746589266669,0.044466587693860644,0.9251888960246448,0.044096180177406644,56
177,0.5714957274543198,0.19219515530745096,0.3410673650771712,0.17115523834421192,0.6183784727852955,0.19025965913554319,14
178,0.1842468224517757,0.0953153370192708,0.1271634105521713,0.07699093257034645,0.3532368475024736,0.1725527702350555,12
180,0.9247241334280896,0.049009706540549244,0.7346440843508953,0.07292777742374523,0.9564358253530655,0.033407924996007546,37
181,0.8043742593736556,0.09729978102984949,0.5029457586438093,0.11505386458617799,0.8043742593736556,0.09729978102984949,19
182,0.9224132565841049,0.05633483856147393,0.7223083083979068,0.10848535111036331,0.8816555866611951,0.0669242215876592,29
183,0.8852843561030393,0.038014870598159875,0.8694736943391127,0.03168027209465676,0.951396901995083,0.03139667711184289,45
184,0.7754215827753752,0.09955927451390106,0.6189273000510399,0.10322851823596065,0.7754215827753752,0.09955927451390106,27
185,0.8587298740231006,0.06314169703850181,0.6486943420223674,0.09506233467332474,0.8844083282429714,0.056443783820697535,58
186,0.8451781867948885,0.14111823011819463,0.5215921964966476,0.18937628926568686,0.8451781867948885,0.14111823011819463,10
187,0.5994008840424502,0.16050330716052608,0.2764961448480584,0.16825094969204407,0.7756775617287135,0.11870585689964645,10
188,0.7198145960752532,0.0958990276694466,0.4266821880417949,0.10859276187771236,0.766588877160501,0.09066750129289332,39
189,0.9506618634598687,0.019611538697394175,0.8534408122081725,0.046587835133468085,0.9676383947384759,0.014295286168073459,48
190,0.8905623376092252,0.060196425293815164,0.7675228669152157,0.10256089637365526,0.974992457088836,0.020225251051968623,62
191,0.5183449667273312,0.1958452953455481,0.4665891175499947,0.19783383722525333,0.5860227204387698,0.2037179607897322,12
192,0.8095167799072861,0.10038342321630164,0.6608222775309195,0.11013608490365959,0.8095167799072861,0.10038342321630164,29
193,0.8314032895988023,0.06821367903422619,0.5295841513240114,0.08024513049307655,0.8724790740299168,0.06217681128759838,49
194,0.9416222621296706,0.023392763495045966,0.7625391244177244,0.054797802018952055,0.9416222621296706,0.023392763495045966,93
195,0.9587042677484912,0.03099459972322928,0.518752864483921,0.11656680090452456,0.9587042677484912,0.03099459972322928,47
196,0.7623928697974075,0.11843666736573077,0.42277571220728144,0.1753878416470636,0.7623928697974075,0.11843666736573077,13
197,0.8858596277685338,0.053264428906521395,0.6493406747505559,0.05635923681715231,0.8858596277685338,0.053264428906521395,53
198,0.8323376444649301,0.0909873448426367,0.6390404183544146,0.14899510425095336,0.8323376444649301,0.0909873448426367,17
199,0.7436366477398559,0.11991788794841482,0.5113283724268186,0.11641653725837174,0.7436366477398559,0.11991788794841482,35
200,0.7056661366973359,0.15933660559749074,0.5676633099796442,0.14998259249446158,0.734207483635109,0.1681218927314032,29
201,1,0,0.4803165388333517,0.12726457793257132,1,0,6
202,1,0,0.7920938459270201,0.21087515728363282,1,0,3
203,0.932422392247304,0.05181139030339465,0.2545924062977469,0.16180129631316284,0.9491706178512318,0.04153639768171091,12
204,0.1504496658232167,0.062091193195692375,0.08466587495976399,0.05045651415755659,0.1655904754933053,0.06858289516946074,19
205,0.44221748668224664,0.31391737559754435,0.05068066504828224,0.058519801438904756,0.44221748668224664,0.31391737559754435,4
206,0.48548425937372774,0.29618031052216026,0.07273409100655512,0.06421314012356093,0.5187527785106663,0.2964187376331288,7
207,0.8491312907273867,0.04883065637018361,0.7656993185599617,0.07747497855222635,0.8491312907273867,0.04883065637018361,15
208,0.9468781827345346,0.04339596153835825,0.5934833319656865,0.22399090162760724,0.9468781827345346,0.04339596153835825,11
209,0.5298715076824217,0.23585237714180718,0.1448624087016626,0.06867845242693527,0.5677647169187425,0.2252827055186495,16
210,0.6038731240405265,0.2100247187867082,0.44774841356411144,0.16556819881590373,0.6593932225219512,0.21902331931431193,21
211,0.8973411929261229,0.05141218542709813,0.44843373191151226,0.1274597746646679,0.9152250315354822,0.04704795882386664,34
212,0.2832276668795699,0.13958549288763067,0.23729913859724125,0.12111105811870365,0.8033933374554344,0.13552166578796992,12
213,0.6852391588965373,0.25760943426066496,0.6553337881113257,0.2580468239926769,0.6852391588965373,0.25760943426066496,5
214,0.4393939137574196,0.24170004204403445,0.396648012960932,0.24079372106723224,0.4393939137574196,0.24170004204403445,10
215,0.20271916599114487,0.1315898609254303,0.17718121407954368,0.11751161324403951,0.2435999618396914,0.15378475165554553,19
216,0.5240420248917967,0.148044538190543,0.4950906825479631,0.1357505126837531,0.5240420248917967,0.148044538190543,25
217,0.6824057327161784,0.20898933308245624,0.6193508124831061,0.2067929082508853,0.6824057327161784,0.20898933308245624,20
218,0.530663797416817,0.2151561147563475,0.38288018861660955,0.2618078216512212,0.5494926831248381,0.21284983513386263,12
219,0.9277414751376197,0.05085814046049031,0.7668889876286226,0.15462960880324036,0.9283801174718591,0.0500029514746867,28
220,0.8987636197141036,0.04620006181290317,0.7734686161769133,0.05208767540960157,0.9175187487859815,0.04507200568744803,47
221,0.38454823215707223,0.1911886969579061,0.38454823215707223,0.1911886969579061,0.40165025277926086,0.19353109141546895,16
222,0.8174847759905616,0.14388467493722293,0.7506762410826223,0.1392148648220991,0.8239349630738766,0.13835285892907928,44
223,0.6467021633045247,0.11794591930850469,0.5817056934295128,0.11052225695863499,0.6907201560897009,0.12588941182187843,15
224,0.16232846000677248,0.057570780140855746,0.1237420995573788,0.053222082200815195,0.37079724589858176,0.1785605318303553,11
225,0.7535648984752968,0.14035930386026446,0.4482261436888303,0.15132338196710438,0.7535648984752968,0.14035930386026446,26
226,0.8339993612586032,0.041579987281340776,0.6522565893151163,0.06516619050807265,0.8525109204470334,0.04878493798246023,25
227,0.7163558481558535,0.17007481049386727,0.31829642682429865,0.11748690664344205,0.7875389463580235,0.16812899142911286,25
228,0.6727638995277143,0.25086365188839216,0.5484931666413636,0.1955315928872014,1,0,23
229,0.5083847302703406,0.2709233022956257,0.5083847302703406,0.2709233022956257,0.899189276750745,0.0725156316354919,17
230,0.5583801238651798,0.15863109893491825,0.40211958167148115,0.1516256422378279,0.5583801238651798,0.15863109893491825,32
231,0.9096523463305821,0.07541844394639971,0.5637387981077042,0.058549559515529495,0.9096523463305821,0.07541844394639971,27
232,0.9138500920368026,0.06778696944817371,0.6319991707655706,0.23509896553075843,0.9540150247478612,0.05081524188647707,16
233,0.6461124777601508,0.1643493577799065,0.49824803871243206,0.16863730366537005,0.6461124777601508,0.1643493577799065,6
234,0.22276684638739902,0.16691415621462366,0,0,0.2727447812450879,0.18228725953045719,11
235,0.9620339586526744,0.0449729791555236,0.2846356672345779,0.21299645983479312,1,0,8
236,0.8910353598081998,0.10802659244991727,0.5547763403225898,0.19461582456467802,0.8910353598081998,0.10802659244991727,9
237,0.8645300416139383,0.08572196458038715,0.553306230417183,0.17423745185915943,0.9129050660938473,0.054159343567267794,18
238,0.8585812663404462,0.11204712316317503,0.5155955423043391,0.06326661342252425,0.8585812663404462,0.11204712316317503,30
239,0.49033896242204633,0.3030717733554066,0.49033896242204633,0.3030717733554066,0.49033896242204633,0.3030717733554066,5
240,0.2612051600796624,0.20062073325394175,0.21652733657684775,0.1713087344375936,0.2612051600796624,0.20062073325394175,9
241,0.8582463253029159,0.10649667892754956,0.5644003699549509,0.21377802777210234,0.9488317569028851,0.05473320810849483,13
242,0.4327622431018713,0.23957509569596136,0.3963003793519331,0.23651853204320522,0.45492150672608966,0.2421456726911874,17
243,0.9073952737462676,0.04967605851334107,0.3679847061600072,0.16538217876110314,0.924932063297522,0.04309399877764015,33
244,0.6459839846648195,0.14974999516101736,0.4865589761167789,0.17913410241521102,0.7276131882766643,0.1264173746682351,17
245,0.8595428628781211,0.10930885233143706,0.7284438546980396,0.12333314551991623,0.8595428628781211,0.10930885233143706,17
246,0.6960989476539359,0.1793355322474876,0.43877117804487076,0.11487510454948996,0.6960989476539359,0.1793355322474876,11
247,0.8849344017451974,0.0730252192881469,0.6754918486437154,0.06325463604347883,0.8924206515340453,0.07186540724242252,47
248,0.7559414040548417,0.11184397898852379,0.5813177377976637,0.1102915285477867,0.8301261374500518,0.0700933222542196,85
249,0.9195289361106748,0.05089700701820221,0.8444457315409777,0.06910149172041023,0.9195289361106748,0.05089700701820221,41
252,1,0,0.5473464228896702,0.1899983897131364,1,0,12
253,0.8426557331755657,0.0970472375833371,0.6125464812587266,0.1664332968718598,0.8426557331755657,0.0970472375833371,6
255,0.8295781923020312,0.05955866316417716,0.4709700748238147,0.07165665852518156,0.8822815581210713,0.0513298248564744,105
257,0.7229505317212876,0.09956653276428445,0.41041721929326164,0.11749139407287083,0.7431207477808034,0.10033248798963589,27
258,0.79823646226281,0.1065967598766257,0.6741959920440717,0.1282574094634436,0.883176909840807,0.07128334512855106,19
260,0.8375041515645983,0.15504521682846267,0.3544930759122612,0.16349653956876675,0.8375041515645983,0.15504521682846267,6
261,0.03674142951796981,0.04221186500109081,0.03674142951796981,0.04221186500109081,0.03674142951796981,0.04221186500109081,7
262,0.6994109638520741,0.1383424610299633,0.5766534226149129,0.1531631926337122,0.6994109638520741,0.1383424610299633,11
263,1,0,0.40306371275294417,0.3426863716723311,1,0,2
264,0.7133505628820214,0.1852936786130431,0.417982177739615,0.22131633114876115,0.7536802111679437,0.18069190250072079,13
265,0.45499332084730826,0.12148603179757438,0.41237041269967006,0.1193262175632807,0.45499332084730826,0.12148603179757438,33
266,1,0,0.9140832683440545,0.11185583894992358,1,0,2
267,0.9618059506012262,0.05043317701961311,0.9618059506012262,0.05043317701961311,0.9618059506012262,0.05043317701961311,9
268,0.7391892443160917,0.13680861324654253,0.7391892443160917,0.13680861324654253,0.7965185066158617,0.1623376556343479,6
269,0.6091007528950575,0.31830099981909077,0.6091007528950575,0.31830099981909077,1,0,3
270,0.5290542464229344,0.3323324478473878,0.49107042676779433,0.3289075293486226,0.5290542464229344,0.3323324478473878,6
